search | {'q': 'blue', 'len': 10, 'ip': '127.0.0.1'}
chat | {'msg': 'k', 'suggestions': [1, 2, 3, 4, 5]}
chat | {'msg': 'j', 'suggestions': [1, 2, 3, 6, 7]}
chat | {'msg': 'j', 'suggestions': [1, 2, 3, 6, 7]}
chat | {'msg': 'j', 'suggestions': [1, 2, 3, 6, 7]}
chat | {'msg': 'j', 'suggestions': [1, 2, 3, 6, 7]}
chat | {'msg': 'm', 'suggestions': [1, 2, 3, 6, 7]}
chat | {'msg': 'hallo', 'suggestions': [1, 2, 3, 6, 7]}
chat | {'msg': 'mi', 'suggestions': [1, 2, 3, 6, 7]}
chat | {'msg': 'aaaaa', 'suggestions': [1, 2, 3, 6, 7]}
chat | {'msg': 'halo', 'suggestions': [], 'intent': 'greeting'}
chat | {'msg': 'mau cari gelang biru yang elegan', 'suggestions': [1, 2, 3, 6, 7]}
chat | {'msg': 'ceritakan tentang ColorWeave', 'suggestions': [1, 2, 3, 6, 7]}
